,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
69,0.581,0.209,2,-7.295,0,0.0293,0.839,2.05e-06,0.106,0.237,125.067
70,0.209,0.412,0,-9.733,1,0.0443,0.172,0.15,0.0843,0.162,86.26
71,0.713,0.451,1,-9.64,1,0.0294,0.844,0.00317,0.105,0.238,102.972
72,0.264,0.122,9,-15.399,1,0.0349,0.885,0.349,0.094,0.0735,148.658
73,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045
74,0.273,0.565,2,-7.283,1,0.248,0.516,1.68e-06,0.0855,0.298,179.518
75,0.561,0.111,8,-15.11,0,0.0324,0.871,0.205,0.103,0.0607,148.191
76,0.448,0.462,2,-3.879,1,0.0327,0.627,0.0,0.093,0.27,129.605
77,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
78,0.426,0.228,2,-10.552,1,0.0322,0.203,0.14,0.0832,0.0826,147.986
79,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053
80,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617
81,0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.927
82,0.373,0.0556,2,-9.704,1,0.038,0.979,1.17e-05,0.0881,0.124,135.717
83,0.215,0.316,3,-12.201,1,0.0297,0.135,0.244,0.595,0.19,94.619
84,0.465,0.517,4,-6.189,1,0.0284,0.00854,0.0403,0.209,0.137,136.176
85,0.497,0.259,7,-9.782,1,0.033,0.879,0.0,0.102,0.338,140.117
86,0.426,0.474,4,-6.355,1,0.0324,0.585,0.0,0.119,0.236,154.469
87,0.54,0.285,5,-11.377,0,0.0378,0.855,0.00118,0.0937,0.107,126.881
88,0.326,0.599,4,-5.595,1,0.0338,0.0512,6.62e-06,0.145,0.0387,149.919
89,0.81,0.266,7,-12.478,1,0.0407,0.56,1.05e-06,0.0962,0.212,130.041
90,0.304,0.379,3,-8.484,1,0.029,0.912,0.025,0.112,0.189,125.203
91,0.556,0.595,9,-4.51,1,0.0275,0.214,8.33e-05,0.125,0.144,104.001
92,0.19,0.265,9,-9.206,1,0.0356,0.863,0.0,0.134,0.101,79.012
93,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277
94,0.676,0.0812,2,-22.846,1,0.0398,0.979,0.416,0.118,0.314,125.053
95,0.431,0.188,0,-9.965,1,0.0252,0.613,8.28e-05,0.105,0.0446,78.172
96,0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557
97,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372
98,0.398,0.284,3,-12.852,1,0.0337,0.966,8.57e-05,0.116,0.114,109.599
99,0.64,0.0561,0,-13.156,1,0.0604,0.864,0.0,0.165,0.227,123.258
100,0.333,0.0931,1,-20.125,1,0.0322,0.872,0.00734,0.155,0.159,112.783
101,0.479,0.467,1,-11.092,1,0.027,0.381,0.00233,0.116,0.087,97.038
102,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139
103,0.565,0.546,11,-7.496,0,0.0314,0.189,0.0015,0.17,0.195,139.757
104,0.681,0.202,5,-11.16,1,0.0317,0.688,0.247,0.108,0.254,126.05
105,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917
106,0.526,0.361,8,-5.233,1,0.0324,0.808,0.0,0.108,0.276,120.382
107,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078
108,0.412,0.227,0,-12.696,1,0.0359,0.787,4.69e-06,0.282,0.226,80.111
109,0.585,0.103,7,-12.682,1,0.0309,0.801,0.0,0.126,0.179,133.057
110,0.607,0.154,9,-12.44,0,0.0468,0.949,0.000823,0.0901,0.35,135.543
111,0.305,0.224,2,-12.816,1,0.0312,0.961,0.00785,0.112,0.226,169.526
112,0.399,0.0969,6,-12.578,1,0.0509,0.929,0.000168,0.121,0.0758,109.54
113,0.673,0.376,11,-14.029,1,0.0407,0.691,0.543,0.45,0.337,118.035
114,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021
115,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541
116,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035
117,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
118,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148
119,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036
120,0.626,0.286,9,-9.933,1,0.0374,0.678,0.0,0.134,0.366,84.954
121,0.524,0.352,7,-4.139,1,0.0295,0.785,0.0,0.228,0.394,111.725
122,0.561,0.522,2,-5.857,1,0.0318,0.227,0.0,0.104,0.238,83.962
123,0.654,0.163,7,-24.835,0,0.1,0.351,0.0,0.0851,0.179,139.98
124,0.405,0.111,0,-11.879,1,0.0369,0.964,4.37e-05,0.0872,0.219,116.86
125,0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76
126,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178
127,0.57,0.278,1,-11.411,1,0.0295,0.827,1.68e-05,0.11,0.271,146.944
128,0.322,0.352,10,-10.986,1,0.0309,0.455,0.00333,0.11,0.266,70.429
129,0.409,0.413,4,-6.722,1,0.0296,0.461,0.0,0.0765,0.13,137.02
130,0.517,0.552,0,-6.401,1,0.039,0.375,0.0,0.106,0.196,153.747
131,0.72,0.482,6,-4.704,0,0.0402,0.285,0.0,0.115,0.241,111.867
132,0.478,0.442,5,-5.165,1,0.0285,0.705,0.0,0.119,0.222,93.005
133,0.385,0.231,8,-10.612,0,0.0309,0.858,0.00321,0.108,0.166,100.95
134,0.594,0.273,5,-9.402,1,0.0291,0.873,0.0,0.0895,0.362,131.851
135,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893
136,0.509,0.266,6,-13.017,1,0.0286,0.843,0.0121,0.136,0.221,149.859
137,0.741,0.571,2,-7.541,1,0.0289,0.16,0.0076,0.113,0.813,105.732
138,0.555,0.578,11,-7.942,0,0.0277,0.113,3.43e-06,0.0747,0.333,83.382
139,0.426,0.665,9,-4.357,0,0.0358,0.222,0.0,0.142,0.268,175.959
140,0.63,0.44,2,-7.186,1,0.0249,0.822,3.87e-06,0.0926,0.343,98.082
141,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541
142,0.338,0.803,8,-5.412,0,0.0413,0.0187,0.0,0.136,0.4,151.994
143,0.635,0.561,1,-7.458,1,0.0248,0.154,0.000167,0.361,0.329,113.99
144,0.519,0.189,2,-11.54,1,0.0375,0.967,0.000802,0.0717,0.386,124.964
145,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6
146,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
147,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028
148,0.678,0.121,1,-20.207,0,0.0694,0.952,0.0671,0.145,0.377,115.99
149,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039
150,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998
151,0.255,0.371,1,-8.935,1,0.0565,0.685,0.0,0.124,0.0388,205.432
152,0.379,0.664,11,-6.863,1,0.0307,0.0167,0.000679,0.0915,0.301,115.272
153,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467
154,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.475
155,0.552,0.643,0,-7.36,1,0.0327,0.0364,0.74,0.105,0.212,120.012
156,0.55,0.143,3,-15.685,1,0.241,0.956,0.0,0.195,0.224,74.918
157,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989
158,0.254,0.285,4,-7.112,0,0.0382,0.769,0.0,0.0997,0.101,74.858
159,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
160,0.597,0.226,1,-9.362,1,0.0353,0.837,0.0,0.11,0.187,130.807
161,0.457,0.719,4,-3.921,0,0.0323,0.191,0.0,0.228,0.168,142.034
162,0.714,0.434,4,-11.542,1,0.0396,0.697,0.0,0.0919,0.352,123.942
