,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
69,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977
70,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047
71,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
72,0.784,0.675,0,-7.718,1,0.049,0.261,1.4e-06,0.293,0.854,124.908
73,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017
74,0.742,0.838,2,-6.442,1,0.11,0.0832,0.0,0.418,0.848,113.373
75,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041
76,0.525,0.686,5,-8.879,1,0.0325,0.18,2.66e-06,0.274,0.91,193.667
77,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,0.819,99.992
78,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327
79,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996
80,0.351,0.928,1,-3.71,1,0.0759,0.00113,0.0,0.0988,0.239,148.03
81,0.601,0.691,1,-7.859,0,0.0435,0.014,0.177,0.268,0.863,150.944
82,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891
83,0.681,0.163,11,-22.597,1,0.165,0.881,7.62e-05,0.0688,0.771,69.283
84,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022
85,0.598,0.531,7,-7.484,1,0.0954,0.331,1.51e-06,0.0938,0.696,70.469
86,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023
87,0.491,0.87,9,-5.99,1,0.0308,0.00361,0.126,0.184,0.814,124.444
88,0.544,0.847,2,-4.794,1,0.0385,0.0462,0.0,0.336,0.168,97.974
89,0.843,0.656,1,-11.184,1,0.0595,0.0466,0.0187,0.169,0.931,121.112
90,0.537,0.622,7,-6.602,1,0.224,0.372,0.0,0.127,0.729,99.905
91,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
92,0.896,0.704,10,-12.148,1,0.0402,0.401,0.132,0.0884,0.98,128.685
93,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064
94,0.541,0.591,2,-6.688,1,0.0336,0.289,0.000431,0.124,0.116,111.676
95,0.498,0.872,2,-6.744,1,0.0977,0.14,3.17e-06,0.103,0.553,170.056
96,0.635,0.672,10,-6.788,0,0.0637,0.314,5.03e-06,0.0688,0.895,166.903
97,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654
98,0.713,0.607,11,-4.388,0,0.0582,0.218,2.34e-05,0.103,0.202,91.005
99,0.341,0.895,9,-6.66,1,0.076,0.147,0.0,0.0741,0.677,174.987
100,0.74,0.688,5,-4.361,0,0.0916,0.061,0.0,0.138,0.935,115.035
101,0.749,0.484,5,-9.944,1,0.0484,0.13,0.137,0.0486,0.939,167.084
